word,meaning,example,image
Albuterol,Proventil,"90-180 mcg as needed, Tremors, nervousness,increased heart rate",https://tse1.mm.bing.net/th?id=OIP.9cBDVt903_em28sn_xecJAAAAA&pid=Api&P=0&h=180
Prednisone,Deltasone,"5-60 mg daily, Weight gain; mood changes; increased infection risk",https://tse2.mm.bing.net/th?id=OIP.vbQ3cTP6aDPRbpawa-W8gwAAAA&pid=Api&P=0&h=180
Levothyroxine,Synthroid,"25-300 mcg daily, Heart palpitations; weight changes",https://tse1.mm.bing.net/th?id=OIP.XA4016kqHA3RYe4TMqmQgQHaHa&pid=Api&P=0&h=180
Amlodipine,Norvasc,"2.5-10 mg daily, Swelling of ankles/feet; dizziness",https://tse4.mm.bing.net/th?id=OIP.5Ft7Tf-p7VHuf356vofVvQHaHa&pid=Api&P=0&h=180
Rosuvastatin,Crestor,"5-40 mg daily, Muscle pain; liver damage",https://tse1.mm.bing.net/th?id=OIP.CF-XCiZr7sC8ubjq1AJFJQHaHa&pid=Api&P=0&h=180
Cetirizine,Zyrtec,"10 mg daily,Drowsiness; dry mouth",https://tse4.mm.bing.net/th?id=OIP.uXI9ZUyhgCamyVBDJMdEVQHaFI&pid=Api&P=0&h=180
Furosemide,Lasix,"20-80 mg daily,Dehydration; low potassium",https://tse2.mm.bing.net/th?id=OIP.mMqKto2OcbUXLHhswclR4QHaEM&pid=Api&P=0&h=180
Ranitidine,Zantac,"75-150 mg twice a day,Headache; constipation",https://tse2.mm.bing.net/th?id=OIP.eNKWLpvTJLbpKjsPrAjfjQHaHa&pid=Api&P=0&h=180,
Dextromethorphan,Robitussin,"10-20 mg every 4 hours,Drowsiness; dizziness",https://tse4.mm.bing.net/th?id=OIP.6TSBec5VeGOe-AUe6qMp2wHaHa&pid=Api&P=0&h=180
Tamsulosin,Flomax,"0.4 mg once daily,Dizziness; headache",https://tse4.mm.bing.net/th?id=OIP.3Kdk4udC7lbGXf5MISk8VAHaHa&pid=Api&P=0&h=180
Methylprednisolone,Medrol,"4-48 mg daily,Mood changes; increased appetite",https://tse1.mm.bing.net/th?id=OIP.9ukpIo77PawLXeCgKEytLQHaHa&pid=Api&P=0&h=180
Diazepam,Valium,"2-10 mg as needed,Drowsiness; dizziness",https://tse1.mm.bing.net/th?id=OIP.ZTIirN9IcByLq3eiR6lRCwHaHa&pid=Api&P=0&h=180
Ezetimibe,Zetia,"10 mg daily,Abdominal pain; diarrhea",https://tse2.mm.bing.net/th?id=OIP.l3nSWlSl9qNlRjVdmKnRNwAAAA&pid=Api&P=0&h=180
Lisinopril,Prinivil,"10-40 mg daily,Cough; high potassium levels,https://tse2.mm.bing.net/th?id=OIP.VHZy2vD52uXXB0kr7vBLYAAAAA&pid=Api&P=0&h=180
Venlafaxine,Effexor,"75-375 mg daily","Nausea; insomnia",https://tse1.mm.bing.net/th?id=OIP.2VqB2ubf3BUbynQGHqucVAHaGK&pid=Api&P=0&h=180
Topiramate,Topamax,"25-200 mg daily","Dizziness; fatigue",https://tse2.mm.bing.net/th?id=OIP.26Y04I3Lz9eOoM2ucM0o0gHaHa&pid=Api&P=0&h=180
Aciclovir,Zovirax,"200-800 mg every 5 hours, Nausea; diarrhea; headache",https://tse4.mm.bing.net/th?id=OIP.FGoOuL01FewkMIeLQSywyAHaHa&pid=Api&P=0&h=180
Acrivastine,Semprex-D,"8 mg three times daily, Drowsiness; dry mouth",https://tse3.mm.bing.net/th?id=OIP.HJAFUXnNsWtSu2y1HUV6CAHaDP&pid=Api&P=0&h=180
Adalimumab,Humira,"40 mg every other week, Injection site reactions; headache",https://tse2.mm.bing.net/th?id=OIP.S8UWDOmvZYelK2CXqXhEWQHaHa&pid=Api&P=0&h=180
Alendronic acid,Fosamax,"10 mg daily, Abdominal pain; esophageal irritation",https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750132600199L.jpg
Allopurinol,Zyloprim,"100-800 mg daily, Rash; gastrointestinal upset",https://tse3.mm.bing.net/th?id=OIP.kxNCK6Ps_y4RwEXQWoRIUgHaHa&pid=Api&P=0&h=180
Alogliptin,Nesina,"25 mg daily, Headache; upper respiratory infection",https://tse3.mm.bing.net/th?id=OIP.Msbm9nlcG4msRWRe6FNajQHaHa&pid=Api&P=0&h=180
Amitriptyline,Elavil,"10-150 mg daily, Drowsiness; dry mouth; weight gain",https://tse1.mm.bing.net/th?id=OIP.Lag-4ydj0ug-2JMdnr6KBwAAAA&pid=Api&P=0&h=180
Apixaban,Eliquis,"5 mg twice daily, Bleeding risk; nausea",https://tse2.mm.bing.net/th?id=OIP._0FFaG0clVxe1Hgw2sMMMgHaHa&pid=Api&P=0&h=180
Aripiprazole,Abilify,"10-30 mg daily, Weight gain; drowsiness",https://tse2.mm.bing.net/th?id=OIP.yZKC7iu3q0WMjeabVm9tUgHaJl&pid=Api&P=0&h=180
Atenolol,Tenormin,"25-100 mg daily, Fatigue; dizziness",https://tse3.mm.bing.net/th?id=OIP.qRowKBabipcBBPT-EXaBYAHaHa&pid=Api&P=0&h=180
Azathioprine,Imuran,"1-2.5 mg/kg daily, Nausea; increased infection risk",https://tse2.mm.bing.net/th?id=OIP.52pNQo2cy6NL9V8RaeVcOAHaHa&pid=Api&P=0&h=180
Azithromycin,Zithromax,"250-500 mg once daily, Nausea; diarrhea; abdominal pain",https://tse4.mm.bing.net/th?id=OIP.AAoZNwH-P55OIB7okSAr6QHaH5&pid=Api&P=0&h=180
Baclofen,Lioresal,"5-20 mg three times daily, Drowsiness; dizziness",https://tse3.mm.bing.net/th?id=OIP.jKPLg8dlJdFuhu0EYY7xGAHaHa&pid=Api&P=0&h=180
Beclometasone inhalers,Qvar,"100-400 mcg twice daily, Oral thrush; hoarseness",https://tse3.mm.bing.net/th?id=OIP.5uZvYG6St6rIPlinTAIyXwHaE7&pid=Api&P=0&h=180
Bendroflumethiazide,Naturetin,"2.5-10 mg daily, Dizziness; electrolyte imbalance",
Benzoyl peroxide,Clearasil,"2.5%-10% applied once or twice daily, Skin irritation; dryness",https://tse1.mm.bing.net/th?id=OIP.1p9hYb8SQsQoL4t3sCsrOAHaHa&pid=Api&P=0&h=180
Betahistine,Serc,"8-16 mg three times daily, Nausea; headache",https://tse1.mm.bing.net/th?id=OIP.cG-sGnnFRybmXJX01fdkNwHaHa&pid=Api&P=0&h=180
Betamethasone for skin,Diprolene,"Apply thin layer once or twice daily, Skin thinning; irritation",https://tse4.mm.bing.net/th?id=OIP._s_ayd9wd4E8vG4Uoy5KNQHaEx&pid=Api&P=0&h=180
Bimatoprost (Lumigan),Lumigan,"0.03% once daily at night, Eye redness; eyelash growth",https://tse4.mm.bing.net/th?id=OIP.Mtr808Ze2wsOTvcCKwapJwHaHa&pid=Api&P=0&h=180
Bisacodyl,Dulcolax,"5-15 mg as needed, Abdominal cramping; diarrhea",https://th.bing.com/th/id/OIP._AAeZKkjD_qpbFE4ZfL5-AHaEX?w=322&h=189&c=7&r=0&o=5&dpr=1.5&pid=1.7
Bisoprolol,Zebeta,"2.5-10 mg daily, Fatigue; dizziness",https://th.bing.com/th?id=OIP.NOqTfeWn6a_V5y-iXFPQ0wHaFj&w=288&h=216&c=8&rs=1&qlt=90&o=6&dpr=1.5&pid=3.1&rm=2
Brinzolamide,Azopt,"1 drop in affected eye(s) twice daily,Eye discomfort; blurred vision",https://th.bing.com/th/id/OIP.6uvWNzyMXyIdlEDWomfaZwHaHa?w=179&h=180&c=7&r=0&o=5&dpr=1.5&pid=1.7
Budesonide inhalers,Pulmicort Flexhaler,"180-720 mcg twice daily,Oral thrush; cough",https://th.bing.com/th?id=OIP._rZjVK5kvvIL1xK3PgE_-wHaH3&w=242&h=257&c=8&rs=1&qlt=90&o=6&dpr=1.5&pid=3.1&rm=2
Bumetanide,Bumex,"0.5-2 mg daily, Electrolyte imbalance; dehydration",https://th.bing.com/th/id/OIP.u8TPsbjcRXXTuUyKc29mPgHaCv?w=308&h=129&c=7&r=0&o=5&dpr=1.5&pid=1.7
Buprenorphine for pain,Buprenex,"0.3-0.6 mg every 6-8 hours as needed,Drowsiness; constipation",https://th.bing.com/th?id=OIP.LCpCPaQlcb8Mdf1ajmssCgHaFL&w=299&h=208&c=8&rs=1&qlt=90&o=6&dpr=1.5&pid=3.1&rm=2
Buscopan (hyoscine butylbromide),Buscopan,"10-20 mg three times daily,Dry mouth;blurred vision",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ66svRAh5w7uJpdG8gSsIngKjnJbQur1Sjjg&s
Calcipotriol,Dovonex,"Apply twice daily to affected areas,Skin irritation; itching",https://tse2.mm.bing.net/th?id=OIP.WoaxK_T0d9r6vYRc2CC8ZgHaGL&pid=Api&P=0&h=180
Candesartan,Atacand,"4-32 mg daily,Dizziness; fatigue",https://tse1.mm.bing.net/th?id=OIP.oA6pzsPQruRMdXUw2-pqYwHaHa&pid=Api&P=0&h=180
Carbamazepine,Tegretol,"200-1200 mg daily in divided doses,Dizziness; drowsiness",https://tse4.mm.bing.net/th?id=OIP.PkAgtorntFw7kF5PLP2YkAHaHa&pid=Api&P=0&h=180
Carbimazole,Neo-Mercazole,"15-40 mg daily,Rash; gastrointestinal upset",https://tse1.mm.bing.net/th?id=OIP.2tO3n8NHz89nWb2Tg9OuCgHaHa&pid=Api&P=0&h=180
Carbocisteine,Mucodyne,"750-1500 mg three times a day,Gastrointestinal upset",https://tse2.mm.bing.net/th?id=OIP.41cZlLQ1p0CncJdrhYLARAHaGR&pid=Api&P=0&h=180
Carmellose sodium eye drops,Celluvisc,"1 drop in each eye as needed, Blurred vision",https://tse2.mm.bing.net/th?id=OIP.Tz4Tl3Esu4kkL1VU-YDM9gHaHa&pid=Api&P=0&h=180
Carvedilol,Coreg,"3.125-25 mg twice a day, Dizziness; fatigue",https://tse2.mm.bing.net/th?id=OIP.vQZ-2U6kvGih6sXOlFgzYgAAAA&pid=Api&P=0&h=180
Cefalexin,Keflex,"250-1000 mg every 6 hours,Nausea; diarrhea",https://tse4.mm.bing.net/th?id=OIP.6Y0tD7ZfaA5DZzo5Z-6Q1AHaGR&pid=Api&P=0&h=180
Chloramphenicol,Chloromycetin,"1 drop in affected eye(s) every 3 hours,Allergic reactions",https://tse1.mm.bing.net/th?id=OIP.laLku8PUgZwgSAM3jBRiAAHaHa&pid=Api&P=0&h=180
Chlorhexidine,Peridex,"Use as directed for oral rinse,Taste alteration",https://tse1.mm.bing.net/th?id=OIP.v8EYPlI4A2lEPbMQEDj-LgHaHa&pid=Api&P=0&h=180
Chlorphenamine (Piriton),Chlor-Trimeton,"4 mg every 4-6 hours as needed,Drowsiness",https://tse3.mm.bing.net/th?id=OIP.lzZmlAB50xR5zM6nYebgqQAAAA&pid=Api&P=0&h=180
Cinnarizine,Stugeron,"15-30 mg daily,Drowsiness",https://tse2.mm.bing.net/th?id=OIP.em4UGCa1gkdC7FwVHca9qgHaHa&pid=Api&P=0&h=180
Ciprofloxacin,Cipro,"250-750 mg every 12 hours Nausea; diarrhea",https://tse2.mm.bing.net/th?id=OIP.dPGGVzYbWTs_tm5pdmT5VAHaFQ&pid=Api&P=0&h=180
Citalopram,Celexa,"20-40 mg daily,Nausea; insomnia",https://tse2.mm.bing.net/th?id=OIP.BCzd1Em5w5bWVrsnBsP5sQHaFY&pid=Api&P=0&h=180
Clarithromycin,Biaxin,"250-500 mg every 12 hours,Nausea; diarrhea",https://tse1.mm.bing.net/th?id=OIP.9CQbEhvSYaXN0r6Ghp9ahgHaFj&pid=Api&P=0&h=180
Clobetasol,Temovate,"Apply thin layer once or twice a day,Skin thinning",http://images.medscape.com/pi/features/drugdirectory/octupdate/PHD03010.jpg
Clonazepam,Klonopin,"0.5-2 mg two to three times a day,Drowsiness",https://tse1.mm.bing.net/th?id=OIP.CyuGJbQSmYJv-mwEE-eG6gHaFX&pid=Api&P=0&h=180
Clonidine,Catapres,"0.1-0.3 mg twice a day,Dry mouth",https://tse1.mm.bing.net/th?id=OIP.zFeC4ILHjO7MWGVN0SlbegHaH6&pid=Api&P=0&h=180
Co-amoxiclav,Augmentin,"500/125 to 875/125 mg every 12 hours,Nausea",https://tse1.mm.bing.net/th?id=OIP.nX0Z7H1xyzM0UsmfrfugVwAAAA&pid=Api&P=0&h=180
Co-codamol for adults,Co-codamol,"500/30 to 1000/60 mg every 6 hours as needed,Constipation",https://tse3.mm.bing.net/th?id=OIP.pGB4NXM9He9nvVC6jHEkUQHaHa&pid=Api&P=0&h=180
Co-dydramol,Co-dydramol,"500/15 to 1000/30 mg every 6 hours as needed,Drowsiness",https://tse2.mm.bing.net/th?id=OIP.pHIi5w6-KqSXAlQrEsplnQHaHa&pid=Api&P=0&h=180
Codeine,Codeine phosphate,"15-60 mg every 4 hours as needed,Constipation",https://tse2.mm.bing.net/th?id=OIP.E9XGbMjSuqR_KN8WDWDoyQHaEO&pid=Api&P=0&h=180
Colchicine,Colcrys,"1 tablet at first sign of gout attack then 0.6mg after 1 hour if needed,Nausea",https://tse4.mm.bing.net/th?id=OIP.eJftz6ZhE77ZHstW9JffoAHaHa&pid=Api&P=0&h=180
Colecalciferol,Vitamin D3,"800 to 2000 IU daily depending on deficiency status,Hypercalcemia",https://tse1.mm.bing.net/th?id=OIP.Sf-_1gQ3BZKvlRlGCw3BewHaHa&pid=Api&P=0&h=180
Dexamethasone,Decadron,"0.5-10 mg daily, Increased appetite; mood changes; insomnia",https://tse1.mm.bing.net/th?id=OIP.fW8OuUMvqUoSycD_nChwBQHaEU&pid=Api&P=0&h=180
Diphenhydramine,Benadryl,"25-50 mg every 4-6 hours as needed, Drowsiness; dry mouth; dizziness",https://tse3.mm.bing.net/th?id=OIP.QXDCZn-oArqDGtKtM1D_0QHaHa&pid=Api&P=0&h=180
Docusate sodium,Colace,"50-400 mg daily, Abdominal cramping; diarrhea",https://tse3.mm.bing.net/th?id=OIP.5hwzGTSnHfQMkrCm9e1rCAAAAA&pid=Api&P=0&h=180
Duloxetine,Cymbalta,"30-120 mg daily, Nausea; dry mouth; fatigue",https://tse4.mm.bing.net/th?id=OIP.zz2CSrlbV7BmSS7S7xsHBwHaGF&pid=Api&P=0&h=180
Enalapril,Vasotec,"2.5-40 mg daily, Cough; elevated potassium levels; dizziness",https://tse4.mm.bing.net/th?id=OIP.0aVEt7mJcq1mPjMvJ80RUgHaN7&pid=Api&P=0&h=180
Escitalopram,Lexapro,"10-20 mg daily, Nausea; insomnia; sexual dysfunction",https://tse4.mm.bing.net/th?id=OIP.BTv-P9EBYozAlfGy7_UeaAHaD4&pid=Api&P=0&h=180
Etoricoxib,Arcoxia,"30-120 mg daily, Gastrointestinal issues; hypertension",https://tse1.mm.bing.net/th?id=OIP.vttbgltYKJVTw3vDKNtl7wHaHa&pid=Api&P=0&h=180
Fentanyl patch,Duragesic,"25-100 mcg/hour every 72 hours, Drowsiness; constipation; respiratory depression",https://tse3.mm.bing.net/th?id=OIP.5rJSbLMxjX0QOE3JqDNN9gAAAA&pid=Api&P=0&h=180
Fluticasone nasal spray,Flonase,"1-2 sprays in each nostril daily, Nasal irritation; headache",https://tse2.mm.bing.net/th?id=OIP.Wp7W_iHbL1fBrnPVJ-DwOAHaEw&pid=Api&P=0&h=180
Folic acid,Folvite,"400-800 mcg daily,Rare allergic reactions",https://tse3.mm.bing.net/th?id=OIP.3CyDXa5lDxbyz8jU6ze5BwHaHa&pid=Api&P=0&h=180
Gabapentin enacarbil,Horizant,"600-1200 mg daily, Dizziness; drowsiness",https://tse1.mm.bing.net/th?id=OIP.LIV_hGfCaR_jvAGvP_IETAAAAA&pid=Api&P=0&h=180
Glimepiride,Amaryl,"1-8 mg daily with breakfast or the first meal of the day, Hypoglycemia; dizziness",https://tse4.mm.bing.net/th?id=OIP.NA3Qha6P-Wapoj9NwDUbKgHaHa&pid=Api&P=0&h=180
Hydrocodone/acetaminophen,Norco,"5-10 mg every 4-6 hours as needed for pain relief, Drowsiness; constipation; nausea",https://tse3.mm.bing.net/th?id=OIP.1Y5Qwst-vDuz8Ervnux0dAHaC5&pid=Api&P=0&h=180
Ibuprofen (high dose),Advil/Motrin IB,"800 mg every 6-8 hours as needed for pain/inflammation (max 3200 mg/day), Stomach upset; gastrointestinal bleeding",https://tse2.mm.bing.net/th?id=OIP.fS62lsu5t-mgOxKRgRlM5AHaHa&pid=Api&P=0&h=180
Levocetirizine,Xyzal,"5 mg once daily at night, Drowsiness; dry mouth",https://tse2.mm.bing.net/th?id=OIP._Fry3t_IU0jN_OJHsy68YwHaHL&pid=Api&P=0&h=180
Metoprolol succinate,Toprol XL,"25-400 mg once daily, Fatigue; dizziness",https://tse3.mm.bing.net/th?id=OIP.yXkOO1TGFs0EL47O-BxLJQHaHa&pid=Api&P=0&h=180
Mirtazapine,Remeron,"15-45 mg at bedtime, Sedation; weight gain",https://tse1.mm.bing.net/th?id=OIP.UdZKfZpLiVx2vGS8CcMXUwHaF3&pid=Api&P=0&h=180
Montelukast,Singulair,"10 mg once daily in the evening, Headache; stomach pain",https://tse1.mm.bing.net/th?id=OIP.ZW_f5QaDzZoWs7n-86TspQHaHa&pid=Api&P=0&h=180
Insulin glargine,Lantus,"Dosage varies based on blood sugar levels and diet regimen, Hypoglycemia; weight gain",https://tse4.mm.bing.net/th?id=OIP.MUYPUDvBkyhtDEw5Lud6RQHaHa&pid=Api&P=0&h=180
